,userId,movieId,rating
0,8463,525,1
1,11781,35,5
2,6142,382,5
3,10921,127,3
4,4521,996,1
5,3222,253,2
6,2074,781,1
7,11032,667,5
8,8661,326,2
9,8114,706,5
10,13258,795,5
11,11741,996,2
12,11761,53,1
13,14876,979,1
14,12457,383,5
15,11054,292,4
16,12889,784,2
17,8797,996,2
18,8398,805,2
19,14892,304,2
20,3178,573,4
21,12571,395,4
22,11087,50,1
23,12092,165,5
24,13981,607,2
25,15225,409,2
26,14230,607,2
27,4503,266,1
28,11463,30,4
29,6197,980,1
30,8825,636,5
31,9846,872,2
32,2876,121,1
33,8714,812,4
34,7635,153,5
35,5647,859,1
36,10891,906,5
37,15112,272,5
38,12976,594,2
39,9406,9,4
40,15370,379,1
41,9473,794,1
42,5869,795,1
43,10643,793,1
44,14316,996,1
45,8804,812,4
46,11357,62,3
47,12961,187,1
48,9176,795,3
49,14166,50,5
50,12051,607,5
51,13496,304,4
52,7061,193,5
53,8356,839,5
54,4589,50,4
55,5457,411,3
56,13592,62,3
57,8527,979,1
58,6798,541,1
59,3086,744,4
60,12599,167,1
61,14530,155,2
62,8284,35,4
63,13543,86,5
64,13217,96,1
65,12661,35,5
66,7931,153,5
67,13061,832,3
68,4964,235,5
69,11555,163,1
70,2249,99,4
71,6053,292,5
72,9747,744,2
73,6521,930,1
74,10701,729,2
75,5035,376,1
76,12068,786,5
77,3183,541,4
78,2454,154,2
79,9541,581,5
80,6796,814,1
81,6452,395,3
82,9373,479,1
83,10568,568,2
84,14930,320,1
85,11759,527,5
86,7996,650,2
87,2255,395,4
88,11286,744,5
89,13134,93,5
90,13053,812,1
91,10836,879,4
92,2412,177,1
93,4515,555,1
94,3005,492,3
95,11660,235,3
96,15363,50,2
97,6047,687,3
98,8348,723,1
99,4221,827,5
100,8278,373,1
101,15178,184,4
102,11034,7,1
103,9726,435,5
104,12363,12,3
105,12738,581,5
106,9324,117,1
107,13362,858,1
108,9305,803,5
109,12963,827,4
110,14494,655,1
111,10203,121,5
112,7106,320,4
113,8744,383,5
114,10050,812,3
115,3847,504,1
116,13269,706,2
117,11705,292,3
118,13001,373,1
119,11391,910,5
120,8432,607,5
121,6096,56,4
122,5404,64,1
123,12732,396,5
124,14817,597,4
125,6253,775,1
126,11277,997,4
127,3338,119,3
128,9533,501,2
129,14688,581,4
130,6119,208,2
131,12823,121,5
132,12845,670,2
133,9566,787,5
134,10164,563,5
135,15048,28,2
136,6223,64,2
137,10317,889,1
138,11460,744,5
139,12736,737,2
140,7561,162,3
141,5654,4,2
142,10782,654,1
143,13206,767,1
144,7269,573,2
145,12567,170,1
146,8009,668,3
147,6374,644,1
148,5883,814,3
149,5108,274,1
150,7776,360,3
151,872,50,2
152,11721,557,1
153,3610,598,3
154,3122,194,3
155,8256,812,4
156,14224,945,3
157,4720,563,5
158,15216,744,3
159,7460,607,3
160,11729,405,1
161,13222,929,1
162,4174,820,3
163,6097,702,4
164,13919,643,5
165,7341,443,1
166,12711,662,1
167,10161,12,1
168,7657,670,5
169,6800,858,5
170,6146,862,4
171,7011,555,3
172,14338,121,2
173,5428,979,1
174,14599,467,2
175,6041,12,5
176,12314,707,1
177,10067,62,1
178,6342,103,1
179,12087,775,1
180,2768,235,5
181,12543,292,2
182,5255,1,2
183,8159,35,3
184,11962,555,3
185,10624,983,2
186,3723,292,4
187,8997,292,5
188,15147,744,3
189,4785,383,5
190,5760,814,5
191,13901,744,2
192,15235,906,1
193,6042,395,4
194,4845,311,4
195,14700,969,3
196,13349,479,2
197,7129,643,2
198,15002,979,1
199,11678,153,3
200,6881,802,5
